names,descriptions,statuses,bill_committees,sponsors
H.R.2226,Portfolio Lending and Mortgage Access Act,Passed House,Financial Services | Senate,"Rep. Barr, Andy [R-KY-6]"
H.R.2225,Veterans Dog Training Therapy Act,Introduced,Veterans' Affairs,"Rep. Stivers, Steve [R-OH-15]"
H.R.2224,Repeal of the Obamacare Bay State Boondoggle Act,Introduced,Ways and Means,"Rep. Smith, Adrian [R-NE-3]"
H.R.2223,Community Protection and Preparedness Act of 2017,Introduced,Transportation and Infrastructure,"Rep. DeFazio, Peter A. [D-OR-4]"
H.R.2222,HOMeS Act of 2017,Introduced,Financial Services,"Rep. Stivers, Steve [R-OH-15]"
H.R.2221,Government Shutdown Prevention Act,Introduced,Appropriations,"Rep. Smucker, Lloyd [R-PA-16]"
H.R.2220,Military Pay Protection Act of 2017,Introduced,Armed Services; Transportation and Infrastructure,"Rep. Sinema, Kyrsten [D-AZ-9]"
H.R.2219,End Banking for Human Traffickers Act of 2018,Passed House,Foreign Affairs; Financial Services | Senate,"Rep. Royce, Edward R. [R-CA-39]"
H.R.2218,Tennessee Wilderness Act of 2017,Introduced,Natural Resources; Agriculture,"Rep. Roe, David P. [R-TN-1]"
H.R.2217,Solar EDGE Act,Introduced,Ways and Means,"Rep. Polis, Jared [D-CO-2]"
H.R.2216,"To provide that certain project works on the St. Croix River, Maine, are not required to be licensed by the Federal Energy Regulatory Commission.",Introduced,Energy and Commerce,"Rep. Poliquin, Bruce [R-ME-2]"
H.R.2215,SAFE Act of 2017,Introduced,Financial Services; Judiciary,"Rep. Perlmutter, Ed [D-CO-7]"
H.R.2214,Government Shutdown Accountability and Economic Report Act of 2017,Introduced,House Administration; Oversight and Government,"Rep. O'Halleran, Tom [D-AZ-1]"
H.R.2213,Anti-Border Corruption Reauthorization Act of 2017,Passed House,Homeland Security | Senate,"Rep. McSally, Martha [R-AZ-2]"
H.R.2212,CREATES Act of 2017,Introduced,Energy and Commerce; Judiciary,"Rep. Marino, Tom [R-PA-10]"
H.R.2211,Guardians of America's Freedom Medal Act,Introduced,Armed Services,"Rep. Lance, Leonard [R-NJ-7]"
