names,descriptions,statuses,bill_committees,sponsors
S.2708,Threat Information Protocol for Sharing Act of 2019,Introduced,Judiciary,"Sen. Scott, Rick  [R-FL]"
S.2707,"A bill to provide for a regional center for security studies for the Arctic in the Department of Defense, and for other purposes.",Introduced,Armed Services,"Sen. Murkowski, Lisa [R-AK]"
S.2706,Heat Efficiency through Applied Technology Act,Introduced,Energy and Natural Resources,"Sen. Shaheen, Jeanne [D-NH]"
S.2705,Stopping Executive Overreach on Military Appropriations Act,Introduced,Armed Services,"Sen. Murray, Patty [D-WA]"
S.2704,Rebuild Rural America Act of 2019,Introduced,"Agriculture, Nutrition, and Forestry","Sen. Gillibrand, Kirsten E. [D-NY]"
S.2703,Aviation Automation and Human Factors Safety Act of 2019,Introduced,"Commerce, Science, and Transportation","Sen. Cantwell, Maria [D-WA]"
S.2702,Integrated Energy Systems Act of 2019,Introduced,Energy and Natural Resources,"Sen. Risch, James E. [R-ID]"
S.2701,Federal Initiative to Guarantee Health by Targeting Fentanyl Act,Introduced,Judiciary,"Sen. Portman, Rob [R-OH]"
S.2700,Protecting Roadside First Responders Act,Introduced,"Commerce, Science, and Transportation","Sen. Durbin, Richard J. [D-IL]"
S.2699,"Ocean, Coastal, and Estuarine Acidification Necessitates Research Act of 2019",Introduced,"Commerce, Science, and Transportation","Sen. Markey, Edward J. [D-MA]"
S.2698,Global Health Coordination and Development Act,Introduced,Foreign Relations,"Sen. Markey, Edward J. [D-MA]"
S.2697,Tariff Tax Credit Act of 2019,Introduced,Finance,"Sen. Scott, Rick  [R-FL]"
S.2696,Strengthening Services for Native Elders Act of 2019,Introduced,"Health, Education, Labor, and Pensions","Sen. Smith, Tina  [D-MN]"
S.2695,National Bio and Agro-Defense Facility Act of 2019,Introduced,"Agriculture, Nutrition, and Forestry","Sen. Roberts, Pat [R-KS]"
S.2694,A bill to place restrictions on searches and seizures of electronic devices at the border.,Introduced,Homeland Security and Governmental Affairs,"Sen. Leahy, Patrick J. [D-VT]"
